3
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
769.78	-671.26	-946.11	2059.94
121.77	40.59	-235.23	8653.26
-6.01	116.88	-183.23	5239.56
166.99	-237.82	-8.18	7833.56
-18.55	50.54	-21.36	4256.29
-14.65	10.59	24.35	3708.80
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
619.35	-568.76	-591.95	8931.58
-29.05	243.74	-375.15	6824.04
160.74	49.13	-450.87	223.69
68.51	-103.67	6.16	5144.96
65.89	16.39	-45.53	8790.28
-32.29	100.77	-44.53	8460.08
150.00	100.00	50.00	
13	3
1.00	0.00	0.00	200.00
0.00	1.00	0.00	200.00
0.00	0.00	1.00	200.00
1.00	1.00	1.00	500.00
-1.00	0.00	0.00	0.00
0.00	-1.00	0.00	0.00
0.00	0.00	-1.00	0.00
762.63	-735.47	-593.96	8738.10
259.46	10.74	-620.03	8767.39
35.58	-60.33	20.87	4502.56
-0.64	183.38	-273.96	9032.90
31.83	36.22	-30.67	8282.17
-39.70	82.03	-37.84	6463.93
150.00	100.00	50.00	
